City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hawaiian paradise park,19.5933,-154.9731,70.03,89,23,3.09,US,1698505301
84,ribeira grande,38.5167,-28.7,66.6,68,40,16.11,PT,1698505301
85,aasiaat,68.7098,-52.8699,21.63,89,100,10.45,GL,1698505301
86,newman,37.3138,-121.0208,43.02,15,39,5.59,US,1698505205
87,kodiak,57.79,-152.4072,44.73,94,100,10.38,US,1698505302
88,petropavlovsk-kamchatsky,53.0452,158.6483,37.45,59,0,6.71,RU,1698505302
89,yellowknife,62.456,-114.3525,27.41,100,100,9.22,CA,1698505302
90,as sulayyil,20.4607,45.5779,86.25,34,100,10.74,SA,1698505302
91,berezovo,63.9381,65.0419,12.97,92,7,2.62,RU,1698505303
92,punta arenas,-53.15,-70.9167,41.11,52,40,8.05,CL,1698505303
93,birzebbuga,35.8258,14.5269,77.68,65,20,10.36,MT,1698505303
94,avarua,-21.2078,-159.775,69.85,73,20,6.91,CK,1698505303
95,okhotsk,59.3833,143.3,26.22,83,100,12.77,RU,1698505303
96,kailua-kona,19.6406,-155.9956,80.6,83,0,8.01,US,1698505171
97,richmond,37.5538,-77.4603,77.92,70,0,4.61,US,1698505217
98,cambrai,50.1667,3.4167,56.5,95,99,1.01,FR,1698505304
99,huarmey,-10.0681,-78.1522,70.66,78,69,10.27,PE,1698505304
100,broken hill,-31.95,141.4333,66.47,15,2,7.43,AU,1698505304
101,whitehorse,60.7161,-135.0538,18.37,92,100,9.22,CA,1698505304
102,malvan,16.0667,73.4667,81.27,69,4,5.84,IN,1698505305
103,tura,25.5198,90.2201,67.17,77,0,3.58,IN,1698505305
104,santa maria da vitoria,-13.3947,-44.1886,101.3,23,85,7.34,BR,1698505306
105,belawan,3.7755,98.6832,80.89,84,44,3.67,ID,1698505306
106,sirjan,29.452,55.6814,68.54,27,0,3.8,IR,1698505306
107,nikolayevsk-on-amure,53.1406,140.73,28.42,82,82,3.22,RU,1698505224
